,Objective Value
635,1277877.932128615
636,1253753.2673623336
637,1242893.5423056716
638,1274344.6377496605
639,1295058.9633183489
640,1319157.5683619627
641,1517174.7623020392
642,1715359.951661393
643,1809494.819602798
644,1809645.3403762234
645,1616525.3241452756
646,1396992.8064234955
647,1234338.3312944283
648,1085479.107908247
649,1069833.360342046
650,1139859.7342333668
651,1234742.1493691914
652,1407534.1084941293
653,1773813.3195874558
654,1953382.6133423569
655,1889813.7955951744
656,1552367.1241177982
657,1383459.376995076
658,1267205.1828978022
659,1242617.2256819757
660,1169926.690584131
661,1131179.9591554874
662,1144003.6719541734
663,1176552.318629315
664,1332079.6022585
665,1525709.5463481697
666,1736673.8481836796
667,1802387.565257175
668,1765621.844985202
669,1576983.731320968
670,1337529.097615313
671,1198058.4954397778
672,1113914.578502814
673,1120445.3149571493
674,1125649.6915014796
675,1151508.210103702
676,1167347.7162119763
677,1164033.5724408354
678,1241398.86913526
679,1276801.5211492078
680,1188110.2802807011
681,1037647.3080356132
682,935432.4492667248
683,949634.4681061512
684,956445.0398526966
685,898179.831128902
686,906917.2908646411
687,978057.587100535
688,1159149.4263308402
689,1404178.536320271
690,1534207.2231395137
691,1510810.0609492618
692,1509917.770077907
693,1414758.1575676214
694,1202229.923281746
695,987783.3499912089
696,934994.205363581
697,867072.7984617916
698,846264.9859026712
699,869413.2246162362
700,942885.8964543076
701,954915.7740267944
702,1013657.4526589189
703,1083433.096019707
704,1100852.1725462924
705,1009724.7711651955
706,924562.1559549164
707,827580.3351321168
708,623136.6893286579
709,550218.780800042
710,556484.9403203025
711,658546.5094236917
712,860469.6197812064
713,1156271.27315975
714,1400199.4079485987
715,1529017.78953462
716,1616344.239457735
717,1543903.1765574215
718,1312323.3603495653
719,1205477.4231411153
720,1107327.060480415
721,1088628.5984362136
722,1077843.2916189637
723,1146438.7533026328
724,1261013.4795008397
725,1517990.1628932785
726,1743278.2051809933
727,1847435.6685198643
728,1752524.4327517631
729,1551555.752759932
730,1436046.8073365912
731,1345491.8551379119
732,1208078.0374389875
733,1190407.4154303803
734,1200846.2513147022
735,1235035.2487375552
736,1208455.4484747914
737,1346723.1367536762
738,1447842.5236339243
739,1457830.8574549903
740,1429025.6928214591
741,1272723.8857064652
742,1115857.3438874623
743,976016.1464196055
744,900290.4019725202
745,845353.8564483526
746,850276.5310851
747,851907.3867993924
748,865000.6461946947
749,845779.282121239
750,926769.2518127514
751,956825.476951544
752,857064.1413760673
753,773214.3575859907
754,741473.780243183
755,700291.9507344263
756,618715.7464544352
757,632007.1229208722
758,743490.121768653
759,865129.7912350344
760,1097201.1071152952
761,1375950.2416135995
762,1479608.355106349
763,1607687.5431228601
764,1740008.8218958068
765,1468520.2223732667
766,1267652.3190042588
767,1214832.0134336178
768,1124849.630773817
769,1093183.5553101436
770,1111086.2081157826
771,1121555.0032709027
772,1224294.2671665405
773,1646884.6781650267
774,2000722.2690815125
775,2138445.2576079983
776,2042836.5419133254
777,1888673.3499183222
778,1725051.4487084865
779,1673923.9517138891
780,1630821.2521685571
781,1532846.5683429253
782,1468364.9642047288
783,1489829.2544650557
784,1565348.9670468103
785,1716987.0538232117
786,1794400.487309963
787,1762014.5729749051
788,1648230.809387855
789,1401815.562299935
790,1146452.6073497362
791,981106.815554311
792,934323.3571939945
793,911171.4184256733
794,941981.6977964356
795,1014000.0905683837
796,1170634.1829810836
797,1527543.8473959994
798,1803060.2268813823
799,1804630.8707711229
800,1622383.313778884
801,1497065.663551769
802,1421446.194493858
803,1401564.4420582396
804,1311571.8460553752
805,1303922.6889649122
806,1335660.2541487939
807,1456603.4307904544
808,1744324.7678260307
809,2022688.1439205082
810,2186399.158005527
811,2141328.443642005
812,2032656.0068348884
813,1739335.8238629303
814,1372680.0195358142
815,1195855.0088220998
816,1054366.4640838325
817,963705.2087420948
818,923525.9399666736
819,945088.9388797763
820,1049809.5082951447
821,1335315.7941439243
822,1543172.0762400175
823,1538973.6796723001
824,1301945.8380486206
825,1071787.4905471306
826,919889.0589932578
827,906753.7116664433
828,803559.7874330161
829,767066.2297657969
830,769441.6946304002
831,829956.6026755276
832,966602.4627653983
833,1176883.45529547
834,1490632.6054914123
835,1616251.373077989
836,1504212.1651928488
837,1333592.0856450647
838,1199350.2800604824
839,1101231.5924763773
840,995162.9898695846
841,939781.7436954608
842,943364.210911542
843,970100.1048747402
844,989563.0557611304
845,1060779.9237814432
846,1231118.9024964825
847,1315571.0161109006
848,1197162.1463775088
849,1081199.5702786434
850,1016807.9483494358
851,947102.914308434
852,854849.357338708
853,783627.0291701567
854,792653.5940956441
855,826694.6110046513
856,913382.8113367069
857,1117708.2125568227
858,1277048.1841133663
859,1246121.17923509
860,1233366.8591995377
861,1149757.1666840387
862,1008981.1706831245
863,839674.1502454943
864,720003.9888722678
865,671986.7287162258
866,684710.0025268024
867,695695.899610257
868,704961.6995063876
869,702082.8560409815
870,767105.5840661708
871,812564.445949657
872,760736.2043783838
873,714264.9397782693
874,763305.0121087899
875,828662.869120788
876,759175.2737270386
877,677347.1680740159
878,717483.2561215269
879,814163.2813953909
880,1088333.1759454287
881,1319233.4141398221
882,1564996.7588034759
883,1629023.0074291155
884,1677178.9469477287
885,1618967.154299717
886,1409421.581859574
887,1295093.3776914452
888,1220978.731925489
889,1221635.3953902696
890,1293402.051043565
891,1345595.0126306468
892,1510205.2810121241
893,1958252.2249958685
894,2231366.53608153
895,2206298.3600125094
896,1984281.9593599655
897,1842753.3005625803
898,1723521.6848096445
899,1593665.7910732594
900,1494249.6434299801
901,1475777.3430765904
902,1519087.010903729
903,1608274.4270051904
904,1775069.481740225
905,1976412.8157379478
906,2090342.7728038884
907,2074494.1746392613
908,2018575.6663312716
909,1752454.8484628517
910,1388916.744245049
911,1277165.428845559
912,1227028.6017601076
913,1170818.4604045837
914,1190734.1525082365
915,1208352.5606799934
916,1298572.7900076641
917,1562682.5129625099
918,1713466.3394098
919,1677602.5731081504
920,1493892.2537422662
921,1097374.7197154986
922,978335.7316072887
923,892637.1346023428
924,892907.6308678193
925,879357.86307495
926,1018307.7588179655
927,1034833.5496803754
928,1141571.9434966045
929,1377295.66654151
930,1558276.449582369
931,1591858.7508879087
932,1612284.243596189
933,1404676.0865191538
934,1155990.403168538
935,1011869.1836773534
936,943107.2001151509
937,911380.8376428755
938,935380.62986593
939,998377.2006956515
940,1148408.1791585665
941,1525443.1596688554
942,1789113.1658002893
943,1742717.815715916
944,1551391.8607243754
945,1392866.9215800725
946,1299790.7368519767
947,1110596.1396469313
948,1052059.4594217036
949,999290.0481244392
950,1011226.0526219298
951,1069395.1079527836
952,1291346.7930626485
953,1610981.5542784058
954,1845770.11609847
955,1911529.615511495
956,1901416.4551926635
957,1701100.1060415136
958,1390871.6677128898
959,1245997.296399924
960,1111647.615864863
961,1059794.8696142528
962,1092713.0339744699
963,1123014.3278167397
964,1262845.7299146461
965,1561154.809244015
966,1782334.896247693
967,1703815.4227811077
968,1507190.8339144485
969,1307152.6482477759
970,1151044.05155947
971,995525.8803937347
972,914738.0581103036
973,828488.3766416663
974,857791.1959539399
975,935310.9828738383
976,1160927.1712872393
977,1488730.4828380544
978,1763512.8495649863
979,1813768.134224959
980,1771521.8617135573
981,1498692.9881484099
982,1301538.2537267958
983,1199280.9412426143
984,1175595.3736694676
985,1174816.3884904867
986,1203068.779501827
987,1253412.6831216589
988,1403463.1097814874
989,1798440.0109567472
990,2062237.5491167505
991,2013978.6507007838
992,1797268.4205557655
993,1537894.7060678927
994,1382656.6652368822
995,1272686.2436101986
996,1168008.3977457474
997,1088212.4658803218
998,1038724.429870562
999,1019433.7319198385
1000,1132945.9678163081
1001,1287409.4892748913
1002,1441895.2562154045
1003,1521083.7869923266
1004,1510515.549362483
1005,1404211.5928551645
1006,1270137.2978309304
1007,1223664.5134639903
1008,1162783.2596314354
1009,1123545.8813211562
1010,1148374.7297689053
1011,1150928.7947414974
1012,1160861.3298680452
1013,1226368.0570648366
1014,1395254.3023339054
1015,1456943.9028572903
1016,1314788.1923078247
1017,1161992.4379572934
1018,1038515.6252932049
1019,948860.8790052737
1020,886401.6008227494
1021,820773.1981513364
1022,803272.6710304312
1023,899827.9020867826
1024,1113840.3457871587
1025,1363177.5100118506
1026,1569624.624952865
1027,1582249.9711188008
1028,1618064.552152484
1029,1594122.147154359
1030,1392076.993709227
1031,1224581.2397280058
1032,1142574.0527432803
1033,1085515.0223148987
1034,1056393.687980966
1035,1063544.0577874903
1036,1037086.0025133445
1037,993416.8006375601
1038,1034371.6519673471
1039,1012493.871852441
1040,889352.448508084
1041,811518.0775177825
1042,772460.6443403346
1043,718052.7712305535
1044,628440.7871000537
1045,633308.5636903595
1046,676043.3577124104
1047,787947.9820721233
1048,1027156.9076765853
1049,1313894.8882089797
1050,1530688.3746419458
1051,1568276.170072128
1052,1600899.8028293594
1053,1592698.2850701744
1054,1368057.455481522
1055,1184813.7011167272
1056,1070754.295314415
1057,1033886.7999714689
1058,1043691.9245827629
1059,1114993.1251521278
1060,1248987.0256127391
1061,1636031.7563298189
1062,1837457.6836176568
1063,1854476.2998926952
1064,1612599.8969140295
1065,1439558.7028114744
1066,1212202.9803091455
1067,1040164.6122349611
1068,885543.5002925673
1069,797091.9340165774
1070,805532.8796513373
1071,851675.7015704958
1072,1033147.8412527393
1073,1356017.9791275677
1074,1713919.6429816778
1075,1832535.516309424
1076,1866983.379814484
1077,1705813.2186861597
1078,1456883.9325509204
1079,1346317.234083656
1080,1301008.5826847348
1081,1284126.1512793384
1082,1302978.2219213757
1083,1310992.2525927029
1084,1417411.4337452117
1085,1771214.0200896887
1086,1995715.8813359581
1087,1989160.2927226068
1088,1808196.1806539358
1089,1707952.231811327
1090,1668843.0543375472
1091,1582333.1103934397
1092,1531341.6580540354
1093,1450710.692481468
1094,1485171.0636449468
1095,1481005.7708226917
1096,1508499.2986194463
1097,1620475.5772135188
1098,1769048.5828322147
1099,1767565.2961422107
1100,1746878.191089579
1101,1567254.9142580312
1102,1337362.0789381824
1103,1172893.801113417
1104,1115554.535500535
1105,1079855.9850350672
1106,1099942.9367406873
1107,1167306.9252670803
1108,1313227.6703972067
1109,1646355.1057590235
1110,1852109.1939411648
1111,1755016.7942147956
1112,1523595.514940935
1113,1242800.7309033195
1114,1122330.3573869138
1115,958637.6803308863
1116,841659.1038957878
1117,793508.8253662222
1118,799188.6336679482
1119,834435.9913047379
1120,1038585.6705719241
1121,1348786.8142364651
1122,1627248.6205031616
1123,1733123.3472437446
1124,1806625.7164531741
1125,1833005.376885942
1126,1639480.3973599467
1127,1561857.1087619043
1128,1494157.8137421585
1129,1448616.7574393242
