Time Step,Objective
398,1746210.2538700218
399,1911993.0492316883
400,2126173.1269072127
401,2401355.337027464
402,2390473.3292120635
403,2319542.8082483117
404,2273009.904771554
405,2155837.8838966666
406,1990753.252470523
407,1803340.894257621
408,1684140.5191810434
409,1613741.7568883235
410,1609076.2024169108
411,1621274.2459803876
412,1666379.6231349001
413,1781336.4817954109
414,2127488.083941485
415,2405777.424029306
416,2403225.2598529104
417,2235658.3665162176
418,2117510.0018056487
419,2013953.2144293191
420,1921397.7876117066
421,1932956.5141180346
422,1993355.7145322491
423,2170483.986114749
424,2320451.129315284
425,2547186.56611036
426,2540548.0139035746
427,2404033.0621164106
428,2227045.9767647614
429,2128770.516737609
430,1981824.6318414188
431,1807807.9092740093
432,1685316.1774178522
433,1645217.938163197
434,1631699.571625576
435,1681655.5011672424
436,1720845.3720103009
437,1867564.48929533
438,2210957.2567067444
439,2498714.5343564115
440,2607360.85478794
441,2483277.879617622
442,2457230.308650871
443,2474530.067049463
444,2485507.1606454253
445,2497281.414135998
446,2469752.7652751636
447,2450131.624356547
448,2437220.460670999
449,2635433.432695424
450,2686357.6621748633
451,2654199.0251600733
452,2518117.1711507104
453,2468244.029876705
454,2227398.2052068897
455,1862269.8412027075
456,1586214.0495956135
457,1467724.48873398
458,1426812.7945423014
459,1461062.8305418892
460,1513183.0613112159
461,1661387.2229556045
462,2012025.6382987443
463,2316052.65869211
464,2466169.4885684308
465,2358430.820883971
466,2214494.1143837953
467,2197627.8067391613
468,2147096.1921230005
469,2164060.108314852
470,2297935.402843887
471,2442144.070331802
472,2608676.7684909496
473,2833420.1210901025
474,2811689.0276507097
475,2675453.0650560604
476,2463751.1770019173
477,2353790.202036753
478,2227215.472910341
479,2084525.5933432297
480,1915365.7613742491
481,1834522.9430898938
482,1785484.6510509485
483,1724935.7017993827
484,1674436.870286331
485,1588097.498117163
486,1530172.1618220631
487,1633143.5871462666
488,1739062.865075404
489,1832215.434002192
490,1797674.4524527695
491,1728877.0427664402
492,1609561.121735924
493,1499879.099071718
494,1466881.1340788277
495,1527186.729014405
496,1627145.3569095917
497,1847053.515681398
498,1907223.1061718813
499,1764925.0238514366
500,1604377.266387052
501,1585061.5522179115
502,1550750.839454362
503,1401672.9645565513
504,1228186.9449312077
505,1161783.648810476
506,1143953.6531955502
507,1143706.2038076743
508,1188938.6038280656
509,1169322.446024715
510,1113126.501605385
511,1138759.379196637
512,1230383.986423019
513,1366149.3280724755
514,1412878.4542553285
515,1526347.151918142
516,1556504.2167748758
517,1544708.2918460416
518,1489797.2943955476
519,1481652.5782751383
520,1481191.9479406488
521,1647808.709319734
522,1751480.2090705768
523,1705013.1634441148
524,1666508.7340057483
525,1674928.9250028864
526,1707854.9660299143
527,1563960.329925396
528,1381231.454996001
529,1315483.627086449
530,1304648.2924014623
531,1313961.902277348
532,1374715.6913253756
533,1513825.4788856227
534,1980036.6627179203
535,2331938.9845170216
536,2439612.846750371
537,2363358.311662721
538,2299922.805272067
539,2300622.7033626055
540,2249869.022552424
541,2252171.5691780583
542,2230407.574335432
543,2309472.406624903
544,2353428.837972615
545,2559357.8603282063
546,2596171.39097605
547,2454083.25655685
548,2272753.78597579
549,2144208.4160806094
550,1966368.2478654939
551,1643018.4432743397
552,1440328.3450610433
553,1312324.7647661124
554,1242307.7036641347
555,1219940.2332531856
556,1264237.108941784
557,1419149.2286265441
558,1832558.8521902838
559,2177797.69031641
560,2283658.028401529
561,2139290.5844126595
562,2064318.961551203
563,2051002.515559172
564,2004041.0641876962
565,2083375.4176919477
566,2143033.116112234
567,2250717.4613155583
568,2246956.8671383047
569,2451123.2534932084
570,2555776.0846115234
