Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
120,332454.432427382,125655.0,152342.0,210874.4722519936,245937.0690800342,276617.341433445
121,307430.5351769154,125655.0,152342.0,132043.3683359641,214069.88498564958,235924.4282902218
122,301831.96254737786,125655.0,152342.0,99127.12861764249,201339.46254013004,218702.86548879286
123,304523.53161699645,125655.0,152342.0,93678.74318784758,202626.66397537882,223443.83882895327
124,309376.20143669326,125655.0,152342.0,98048.19376493985,208116.69491851007,234635.92660938483
125,319741.3607732367,125655.0,152342.0,127191.83614793263,219979.90919309575,254561.11446253333
126,366832.909720282,125655.0,153594.87734695247,239659.71631111775,279307.20193935913,337249.97766705474
127,393132.20309618657,125655.0,218118.8841497416,332038.4428627072,348117.28537219774,387216.43160934985
128,397916.09542915254,125655.0,262761.21623018384,375232.97489786823,392619.4137606106,414481.25674864615
129,396742.0312823859,125655.0,250061.30061289354,340201.5799474788,400221.37365868874,423109.15852377116
130,364180.0828081953,125655.0,224372.0,287369.92471636395,408130.02273613226,412685.0250581658
131,333866.4954549741,125655.0,224372.0,269020.79451633303,425801.6016987045,416472.664119409
132,331047.09467016405,119058.32015463202,224372.0,249035.0395565477,428412.8832042867,412735.0211280242
133,344773.97690792737,125655.0,224372.0,245458.84929295126,419337.896082851,392092.65739319427
134,369551.3099963536,125655.0,224372.0,276694.11244212097,407333.4697996448,388654.5646046421
135,387526.33951952343,125655.0,225606.40901909745,379774.50068131456,418941.1138413572,429776.8464243405
136,385201.76180848014,125655.0,265184.3983152546,505699.15663160075,429232.8984824527,416833.8190038566
137,419989.92969448655,125655.0,300932.0,602042.1851214664,471626.9628758687,437807.20393976563
138,394698.3187025318,125655.0,299503.16644185764,610462.6109793152,457626.90021459106,423582.18086733605
139,373538.3820820293,125655.0,270268.4111848237,592798.0252846516,421455.806232693,397749.5317581181
140,396902.0351056063,125655.0,213249.84561709547,564511.6579839685,373085.86199026124,349701.1170772027
141,397964.2204433015,125655.0,174795.3958637767,554487.9915730129,353135.04187447514,347818.6517509493
142,380507.5759987099,125655.0,152342.0,517016.9371725538,309841.93224061554,303277.09549474204
143,358118.8522157403,125655.0,100284.24611316895,460443.9085011997,246515.6968116407,257569.56478368223
144,323877.06600834144,125655.0,67241.40090278696,407281.1648852995,194891.01698927864,215839.27695896465
145,265970.76035570353,125655.0,88527.72007564784,379388.87886385503,184310.0,189503.9413365868
146,234465.58996320222,125655.0,95432.2010798241,358385.70382336696,184310.0,168278.3735332692
147,320385.8045070673,125655.0,16074.0,353693.37605650007,188171.38416198123,165600.0
148,306468.51018496696,125655.0,16074.0,347803.5772098646,195002.9361172365,165600.0
149,280978.94053493947,125655.0,16074.0,338698.4263383832,188688.3692001001,165600.0
150,236276.15835078078,125655.0,46417.05265407139,341226.00826134195,184310.0,165600.0
151,299917.5489166407,125655.0,37498.15465953665,370680.1617614137,187738.7613013799,165600.0
152,324328.45182963065,125655.0,100712.6254744389,413265.26269588596,228616.16780520263,192325.20949148634
153,349589.15431073424,125655.0,115591.35349855524,411882.48835714563,252100.90124641746,224802.89700946287
154,330118.6526180602,125655.0,50394.64381436235,396242.3915955516,248347.92400758818,248679.07854454755
155,322861.9318129288,122602.98607131181,49487.962313030475,388794.255272082,242182.23588901229,263616.3945677193
156,307541.4575270487,120056.00817039517,43829.36994318981,379458.86918055476,226668.08377492471,265242.48422153003
157,313560.3192262392,123066.03266710963,59750.93231891183,388074.3289977433,225325.55366838307,271782.5862879433
158,315609.35514407,125655.0,87723.98498463767,403311.5130859645,217587.10090575647,270587.398553647
159,328364.9870092586,125655.0,127298.02134971763,450108.38226729765,230413.24394524834,278794.0575528839
160,347797.5396359676,125655.0,152342.0,506449.7233727777,238943.34150519513,295561.0428370116
161,370360.2178277438,125655.0,165632.6604452156,565500.5739371455,270158.62761557184,324984.25233664364
162,360622.7556126334,125655.0,159733.23376187345,566551.7995219252,266225.1826076792,322335.16215283726
163,338807.9988108105,125655.0,146290.24367668637,552404.0855806802,247899.9018326534,303750.16073708073
164,300495.5539552251,125655.0,105857.74655075122,519248.4389507779,212215.68799575654,283502.8617157961
165,270531.42778892367,125655.0,69628.77474236832,495141.5367026791,186155.37116720263,269218.03368669545
166,210217.29701737946,125655.0,74432.74549582368,483261.92929006356,180327.1438479041,262970.008945098
167,174064.0,125655.0,24630.8023504402,443720.87299534655,159302.93002479087,238482.42258620646
168,161815.392143102,76996.0,14941.22956594501,394359.9325582732,127952.70622512407,206839.9482011275
169,117425.93934043914,76996.0,14472.404473696206,365081.3779962688,112060.72514111186,186736.08741496492
170,98535.51809172395,76996.0,13290.350447842276,349950.17724512564,104381.87458987747,174579.2156372582
171,81171.19220265652,76996.0,14450.445659923966,332648.3274847783,97166.36974409691,162462.55704430176
172,81949.23048854906,76996.0,15142.834685662709,335077.12853031035,99269.7188061317,161224.5811326595
173,75557.31206221091,76996.0,15079.107262353366,327397.9429602907,96150.20337564402,154541.19260311488
174,55594.9792741515,76996.0,14672.699805457607,303763.2176981896,85445.56288342614,138708.03288782737
175,59616.755998072615,76996.0,14320.221859096728,305435.2119707248,90464.94159692952,136094.52158419284
176,85312.17445726502,76996.0,13882.17905307459,320545.22606115567,110177.8096057032,146972.30472920736
177,130294.84355339942,76996.0,14300.603578205946,330003.30774344475,143839.27738619648,172908.8467828692
178,165539.71038421761,76996.0,14497.540107271578,338815.91196977894,174332.33464916088,198417.4065764579
179,174064.0,96317.0450215803,14439.583512645879,352889.62084176065,214267.6602288068,216116.50639722627
180,174064.0,101537.04157331827,14008.916421586773,365469.06934318977,242316.26518699338,223767.44851024917
181,174064.0,84696.9122647448,12543.194550126167,362227.98370685236,239163.432614199,210221.48314009496
182,168470.57481007406,76996.0,13570.203965590517,371806.8686114043,243106.5669074927,195865.5724204217
183,146750.09047251858,101898.97357837435,12958.807167162493,393418.4770920381,237502.13904310775,185843.91420174352
