,Objective Value
418,1341440.8093098972
419,1241277.4024112227
420,1142408.296138118
421,1059706.6659583722
422,1081405.253452779
423,1157015.8682743153
424,1360997.6848627154
425,1656210.751750488
426,1943670.155275457
427,2080849.0798828541
428,2055573.3177899474
429,1890206.5940916063
430,1639691.5205311272
431,1470429.3035708568
432,1400376.6383444709
433,1367017.2829701276
434,1414479.975266498
435,1486232.0392593953
436,1654137.8143042165
437,2070012.198755869
438,2238152.1797830653
439,2171055.540136192
440,1873749.8123669813
441,1633622.843427031
442,1498459.8495206952
443,1407962.7919433871
444,1390758.1985513878
445,1321500.6473267775
446,1354038.9718789898
447,1422955.419446299
448,1511884.51151426
449,1768090.745782543
450,2010679.5193704218
451,2054611.9836655268
452,1997908.9952000072
453,1796677.6697661802
454,1548366.5885852687
455,1410180.5223260045
456,1334999.6422366742
457,1284249.1576256226
458,1360903.8674039377
459,1422143.4222732391
460,1524598.4058384767
461,1920911.256473661
462,2178184.8152285246
463,2172628.6328813178
464,1851762.5807851567
465,1582416.9788501533
466,1473453.103351766
467,1326559.6902554373
468,1227888.3156771965
469,1131436.6378537484
470,1141369.9351161453
471,1189331.4592171146
472,1376449.8836231595
473,1729022.120339045
474,2028072.468906086
475,2109486.678329148
476,2144124.7781956154
477,1957383.3198998075
478,1708409.323618513
479,1609779.5767178545
480,1528045.3811120472
481,1515147.3141832775
482,1541674.8408830508
483,1591169.9551126657
484,1688320.6340438337
485,1986031.364573311
486,2110724.598222984
487,2024981.449671771
488,1627323.7593630564
489,1327071.494268449
490,1183993.8077738604
491,1054275.920094497
492,1001752.1669321317
493,919719.2348971269
494,915167.0717458295
495,952094.3750094998
496,1132573.3602633239
497,1435991.6717875716
498,1737405.4635407166
499,1858412.3293541372
500,1879370.198439833
501,1763324.6731734092
502,1476522.8631962317
503,1297261.6101376077
504,1250631.845914154
505,1239528.3627190443
506,1248355.1191942787
507,1257546.2894731185
508,1240670.7204590226
509,1282966.6158084134
510,1387673.8204228105
511,1441952.1990104967
512,1313088.8502233196
513,1151171.7688169794
514,1074100.2936428855
515,1030639.3377874646
516,944289.3999763516
517,854149.8769381503
518,855932.8794926998
519,923312.7109278897
520,1139862.6611095
521,1454099.7114319399
522,1691947.8767804753
523,1713978.3493796503
524,1729825.914080732
525,1641477.5688689107
526,1452620.9451318406
527,1272422.5904615154
528,1159245.9213036967
529,1127508.4674975486
530,1107980.469837568
531,1100858.9676522329
532,1095143.8275831263
533,1041263.8211169468
534,1075820.4161818423
535,1113759.8390476296
536,1072499.0994729334
537,969070.5098243798
538,815194.2817512777
539,680442.6108875254
540,595537.4419761051
541,527963.3508580156
542,540326.2734922231
543,632099.0182836538
544,872139.4273256611
545,1275994.8003033507
546,1543353.9296579438
547,1606595.1560087882
548,1661344.952862803
549,1630030.5727582006
550,1456524.7000152909
551,1322753.236965605
552,1266183.2961093718
553,1259132.491811019
554,1294542.749532361
555,1383005.8097748463
556,1596833.3188904324
557,1999654.1770283724
558,2247345.0457118074
559,2197714.469075303
560,1926867.425823735
561,1718006.7791845677
562,1572638.6985867159
563,1459163.8866919535
564,1367932.6519804937
565,1302791.8777565663
566,1341871.6047525336
567,1445076.0354926283
568,1671466.172479384
569,1974059.2533955753
570,2173732.482828635
571,2241266.8285456174
572,2172461.524161229
573,1963136.251421607
574,1668432.7839328852
575,1461877.0838997571
576,1361347.7181482222
577,1318674.270133184
578,1334558.611103506
579,1405305.944056089
580,1581020.254332145
581,1975015.6138765377
582,2187627.026234458
583,2221491.7585056964
584,2039706.5359630687
585,1962442.6206065658
586,1901776.0732641073
587,1827769.5358904575
588,1754377.407103086
589,1710561.8438060144
590,1747928.5789104302
591,1787989.389514491
592,1838311.6007993773
593,1958351.4397155873
594,2131392.741193179
595,2172422.340827584
596,2184378.8881458207
597,1944311.8091781295
598,1636147.2948925972
599,1401663.766218343
600,1318253.3938841908
601,1337272.2489961823
602,1408385.4954947233
603,1539030.743384486
604,1725269.2170897233
605,2070193.0166635287
606,2269189.2717029112
607,2143477.5154288504
608,1933498.8170092609
609,1749531.3904048665
610,1651355.9091631826
611,1610562.5818354236
612,1609319.1137285756
613,1627993.8846356906
614,1705859.7494474372
615,1740932.2541490954
616,1816456.9460653428
617,1944613.9023128562
618,2022065.0950244642
619,2025861.7010635117
620,1969385.7181329534
621,1786983.5678885614
622,1537510.1229735974
623,1350596.287881032
624,1222565.0977770935
625,1159872.8793042554
626,1153467.8550978298
627,1154127.1302392134
628,1303909.9971526465
629,1714772.6540320383
630,1907044.8916552127
631,1923597.183091195
632,1737504.9788167027
633,1591742.294674132
634,1465422.4565274555
635,1274311.2125681601
636,1250845.5202961992
637,1242881.9450174836
638,1274344.4698460437
639,1294979.0021126887
640,1318834.1067989483
641,1516238.0586481923
642,1714806.2373904386
643,1808908.333897049
644,1810843.0505702295
645,1615956.2913461286
646,1396218.8827354407
647,1233542.4703054854
648,1084598.5081652184
649,1069253.6965352888
650,1139627.035197517
651,1234558.2176819248
652,1407380.9643183923
653,1775673.5405731257
654,1958740.0242763322
655,1888802.152054657
656,1552260.5017345375
657,1383316.464376176
658,1262615.061489519
659,1237569.5531973233
660,1173068.8226198596
661,1135176.8013928777
662,1148258.2241529166
663,1178681.5764022584
664,1332018.8895963149
665,1525281.2412753205
666,1734959.5292263713
667,1799604.3149100435
668,1763151.2911475834
669,1576127.4109767198
670,1336696.8243837287
671,1197065.213280706
672,1113243.7474015318
673,1120173.0387531803
674,1125691.536652193
675,1151651.2252000445
676,1167375.1460687865
677,1164014.218123457
678,1241398.86913526
679,1276061.8707168356
680,1187930.6107357321
681,1039418.7369491011
682,935431.1433709067
683,949634.4681061512
684,955460.8679234983
685,898179.831128902
686,906917.2908646411
687,978057.587100535
688,1159130.2081667618
689,1404002.9700455267
690,1533870.20634864
691,1510415.9154862852
692,1509736.3173990182
693,1414318.8412093946
694,1202198.9303373434
695,987664.727808202
696,934882.4281102984
697,866971.6748759095
698,846264.9859026712
699,869307.8571416964
700,942758.8105169211
701,954848.8848698629
702,1013605.8764589297
703,1083389.3962573153
704,1100635.9016592114
705,1009492.0741432332
706,923996.5288038116
707,827580.0118360906
708,623136.6893286579
709,550218.780800042
710,556484.9403203025
711,658546.5094236917
712,861689.0220826198
713,1156099.9594828123
714,1399523.5132977774
715,1528440.7531751138
716,1616101.0504558603
717,1543328.0786522767
718,1311285.0557408289
719,1205464.3196132104
720,1107328.689023493
721,1088701.7162564218
722,1077897.8677081582
723,1146505.943455752
724,1261156.3049887486
725,1517861.5621878118
726,1743276.1640655163
727,1847298.7257003118
728,1751709.600590629
729,1551402.3151258498
730,1434889.4879242897
731,1340752.8323860394
732,1208668.4168633798
733,1190896.108153095
734,1197726.1106982292
735,1234348.610986248
736,1208353.497670384
737,1346543.8870567954
738,1447413.7479954062
739,1457354.105155701
740,1428626.1380238864
741,1272473.2218292388
742,1115851.8490307115
743,975994.7266527455
744,900241.5005462456
745,845299.5028109655
746,850216.5301446803
747,851843.2900636091
748,864939.5564681055
749,845713.9612909596
750,926738.3154973931
751,956784.9373851122
752,857024.1642090572
753,776385.145946405
754,744161.4898740264
755,704075.4245022503
756,618847.6513362755
757,632091.1582649305
758,745922.4190075196
759,865057.3682224347
760,1097138.1497772986
761,1375501.4831268594
762,1479109.8706241401
763,1607484.5219764197
764,1739983.3025217627
765,1468121.3959487274
766,1267652.3190042588
767,1214825.6347039058
768,1124828.308263868
769,1093153.7425600085
770,1111079.459008396
771,1121555.468944888
772,1224331.7277575613
773,1646922.3609763752
774,1999986.1619321508
775,2141722.0297146123
776,2040211.6957728034
