Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2292,-994.1853599999986,-1000.0,890.5021999999999
2293,-986.1992,-1000.0,576.1188
2294,-980.652,-999.9761400000002,177.87968
2295,-990.4215000000004,-1000.0,299.09832999999935
2296,-989.3645000000006,-1000.0,32.698629999999866
2297,-993.4474499999997,-998.2727999999997,644.5403000000001
2298,-993.8670700000002,-994.5653700000005,952.4933000000001
2299,-990.4654499999997,-995.1492299999995,1000.0
2300,-994.9687999999996,-995.5780000000004,1000.0
2301,-1000.0,-995.9482999999996,1000.0
2302,-1000.0,-996.3871000000001,898.9295
2303,-1000.0,-999.2548000000004,539.6314000000002
2304,-1000.0,-1000.0,118.19970999999987
2305,-1000.0,-999.9293000000002,-73.37736999999993
2306,-998.75684,-998.9563000000003,-328.20510000000013
2307,-991.2653,-998.3209000000002,-404.1212800000003
2308,-986.1918999999998,-997.8678599999998,-499.61140000000023
2309,-970.4316399999998,-997.1111499999997,-686.6607699999995
2310,-925.5271000000002,-993.6308000000001,-736.8294999999998
2311,-937.7530500000003,-992.3277599999999,-776.0182500000001
2312,-950.8374600000006,-986.6347999999998,-911.8207000000002
2313,-903.2641000000003,-987.8559000000002,-953.8050000000003
2314,-867.1766000000007,-992.0545999999999,-941.1947600000003
2315,-859.2052999999996,-995.15704,-954.78845
2316,-853.2407999999996,-994.2679000000003,-940.5307600000006
2317,-827.6321399999997,-990.5076000000001,-872.1590999999999
2318,-791.3338999999996,-990.7375,-813.1059600000008
2319,-779.2558000000008,-987.8334399999999,-747.4971
2320,-834.5928999999996,-983.952,-785.4927000000002
2321,-922.6053499999998,-980.9666,-849.9339599999998
2322,-997.8865399999995,-991.9705999999999,-858.3345300000001
2323,-1000.0,-995.5284399999998,-756.6044299999999
2324,-980.3680400000003,-994.5931,-579.59845
2325,-976.4183300000004,-994.6622300000006,-509.20905000000016
2326,-987.9739399999999,-996.4754999999998,-623.1369999999993
2327,-960.8374999999996,-995.8002299999998,-700.3033399999999
2328,-910.5938999999998,-993.0420000000001,-720.7531999999997
2329,-886.8652300000003,-991.5708,-736.3966700000001
2330,-876.8490000000002,-990.7836000000002,-748.7194999999997
2331,-871.509,-990.3221999999998,-745.9922999999994
2332,-888.3680999999997,-991.27124,-745.9450700000002
2333,-898.2184399999996,-991.9008000000001,-736.6469000000006
2334,-900.5510000000004,-992.4682,-718.3357499999997
2335,-931.8945000000003,-992.9966400000001,-723.1801999999998
2336,-985.3910999999998,-991.9722000000002,-841.5280999999995
2337,-989.0845300000001,-992.7134000000001,-987.7098000000005
2338,-977.5608499999998,-994.6360000000002,-1000.0
2339,-953.9488999999994,-997.43256,-1000.0
2340,-957.0061000000005,-996.6268,-1000.0
2341,-964.2373700000007,-994.7268700000001,-1000.0
2342,-973.4043600000005,-992.9595999999999,-1000.0
2343,-977.5373,-992.1374000000001,-1000.0
2344,-990.5126,-993.9669999999999,-1000.0
2345,-985.8653000000013,-995.2370600000002,-810.5591399999994
2346,-976.63904,-995.2314499999998,-11.00432899999987
2347,-992.7845500000003,-995.4686000000002,463.53505999999993
2348,-995.4218000000001,-995.3814999999995,524.5371
2349,-997.4281600000004,-995.6823000000002,479.3388399999999
2350,-992.3412500000004,-996.2506000000001,295.4484299999999
2351,-942.5160500000002,-995.0104400000002,-201.82515000000012
2352,-913.72595,-994.7556,-464.09331999999995
2353,-896.2599,-994.8806,-563.6351299999997
2354,-889.3334999999997,-994.52747,-571.0510000000004
2355,-883.5790399999996,-994.2519499999999,-578.0869999999995
2356,-891.6643699999995,-994.6022300000002,-586.3050000000003
2357,-890.7421999999997,-994.42596,-598.1957000000002
2358,-875.9594999999999,-993.6758000000002,-617.3575000000001
2359,-878.3775599999999,-992.5028700000003,-669.7572600000012
2360,-894.7603000000008,-987.7268000000001,-806.1661000000004
2361,-864.2677000000003,-992.0647999999999,-878.8153000000002
2362,-815.2569999999996,-994.9327000000001,-882.2189300000009
2363,-801.7966300000007,-998.3931000000002,-917.2491000000009
2364,-793.7973600000005,-1000.0,-926.4451000000008
2365,-744.0705600000001,-1000.0,-860.8763400000007
2366,-713.9274999999998,-1000.0,-780.3436000000002
2367,-663.9017999999996,-997.683,-642.8897000000015
2368,-709.3651000000009,-994.7009,-632.7181
2369,-897.0599399999992,-988.7292500000001,-789.5339000000004
2370,-952.5739999999996,-996.0252,-649.6177999999991
2371,-965.7275,-996.2515000000001,-347.82515999999987
2372,-980.7361000000001,-996.51514,-239.15027999999984
2373,-991.1559399999996,-997.0299,-199.46909000000005
2374,-975.8296,-996.6156600000002,-360.1299399999998
2375,-961.0716999999995,-996.8801999999998,-535.9831999999997
2376,-903.4706999999999,-994.54834,-631.4724999999999
2377,-864.0860000000002,-992.1866000000002,-649.6385499999997
2378,-809.9151000000002,-988.99786,-586.6003000000001
2379,-786.9739399999999,-989.0362499999999,-554.9874
2380,-809.0905000000002,-989.4395999999999,-581.2481699999998
2381,-823.15906,-989.8425,-597.6036999999997
2382,-823.4872400000004,-990.34845,-601.2191999999995
2383,-825.0685999999996,-991.0590000000002,-601.07996
2384,-856.9436599999999,-988.877,-725.9501300000011
2385,-904.5262000000002,-991.4129600000001,-917.5502300000007
2386,-884.9208400000007,-993.0637000000002,-970.1648999999998
