,Timestep,Line,Actual,Predicted
213,2232,1,-726.09784,-1023.81213
214,2232,2,927.54156,959.90936
215,2232,3,-201.44353,-95.63119
216,2233,1,-689.7094,-913.1088
217,2233,2,930.4638,1001.1757
218,2233,3,-240.75424,-304.1655
219,2234,1,-662.1946,-897.77045
220,2234,2,869.5199,1003.45886
221,2234,3,-207.32538,-320.141
222,2235,1,-890.569,-948.9463
223,2235,2,792.5659,1001.9919
224,2235,3,98.00294,-235.33987
225,2236,1,-1492.5128,-1064.8644
226,2236,2,644.66064,921.62573
227,2236,3,847.8521,45.897076
228,2237,1,-2712.855,-1385.4541
229,2237,2,463.088,732.8317
230,2237,3,2249.7673,654.1002
231,2238,1,-2652.6924,-2462.32
232,2238,2,522.44916,637.9995
233,2238,3,2130.2434,1928.6747
234,2239,1,-2457.8088,-2808.2292
235,2239,2,465.27222,756.779
236,2239,3,1992.5365,2220.1013
237,2240,1,-3194.5457,-3007.9434
238,2240,2,949.6277,1001.57745
239,2240,3,2244.918,2179.5393
240,2241,1,-3137.747,-2982.0676
241,2241,2,1016.49786,1337.7975
242,2241,3,2121.249,1823.0667
243,2242,1,-2835.8904,-3101.1602
244,2242,2,1595.6528,1674.2719
245,2242,3,1240.2373,1607.7021
246,2243,1,-2721.899,-3114.437
247,2243,2,2189.0354,2079.0574
248,2243,3,532.8634,1227.9205
249,2244,1,-2613.1777,-2772.0703
250,2244,2,2213.241,2165.4834
251,2244,3,399.93686,838.8249
252,2245,1,-2694.1414,-2590.206
253,2245,2,2296.004,2291.6536
254,2245,3,398.13736,495.32617
255,2246,1,-3187.2917,-2970.4543
256,2246,2,3124.799,3125.4326
257,2246,3,62.49284,29.662645
258,2247,1,-3494.313,-3429.7075
259,2247,2,3581.7837,3459.1804
260,2247,3,-87.47095,96.03256
261,2248,1,-3700.9482,-3755.6523
262,2248,2,4137.167,4087.7866
263,2248,3,-436.21835,-366.9096
264,2249,1,-3395.0125,-3330.2632
265,2249,2,2979.0215,3016.8005
266,2249,3,415.99072,401.2004
267,2250,1,-2510.0042,-2796.1216
268,2250,2,1284.3842,1245.2158
269,2250,3,1225.6201,1617.9193
270,2251,1,-2648.8425,-2747.9392
271,2251,2,627.293,815.3166
272,2251,3,2021.5497,2024.4037
273,2252,1,-2356.5608,-2754.2798
274,2252,2,661.86847,783.4752
275,2252,3,1694.6921,2068.567
276,2253,1,-1640.792,-2593.973
277,2253,2,817.3942,766.8756
278,2253,3,823.3977,1889.0876
279,2254,1,-1787.2278,-1945.2103
280,2254,2,1078.0089,838.49646
281,2254,3,709.2188,1149.1945
282,2255,1,-1773.2052,-1541.8279
283,2255,2,1200.615,1021.40546
284,2255,3,572.5903,487.20956
285,2256,1,-1603.9817,-1304.7021
286,2256,2,1210.8916,1173.7561
287,2256,3,393.09027,-50.713154
288,2257,1,-1408.768,-1179.2408
289,2257,2,1231.4093,1175.7494
290,2257,3,177.3587,-233.18796
291,2258,1,-1314.0736,-1126.4094
292,2258,2,1161.1604,1179.457
293,2258,3,152.91295,-339.6592
294,2259,1,-1221.6677,-1056.1857
295,2259,2,988.9763,1125.009
296,2259,3,232.69131,-331.72662
297,2260,1,-1201.2102,-1082.468
298,2260,2,800.17255,1061.6815
299,2260,3,401.03748,-153.79202
300,2261,1,-1984.5974,-1197.013
301,2261,2,533.34845,851.61273
302,2261,3,1451.2489,340.70715
303,2262,1,-2671.7732,-1938.8363
304,2262,2,729.53235,669.15674
305,2262,3,1942.2408,1376.2235
306,2263,1,-3106.4312,-2534.5894
307,2263,2,1331.6804,992.6917
308,2263,3,1774.7505,1667.105
309,2264,1,-3616.55,-3402.339
310,2264,2,2856.4854,2798.7214
311,2264,3,760.0648,796.3829
312,2265,1,-4620.75,-4283.5225
313,2265,2,5367.0723,5645.756
314,2265,3,-746.3227,-1527.3577
315,2266,1,-3972.1064,-4374.1084
316,2266,2,6042.3047,6556.937
317,2266,3,-2070.1982,-2258.1443
318,2267,1,-3817.3308,-4434.9097
319,2267,2,6344.7446,6865.1895
320,2267,3,-2527.4136,-2453.7397
321,2268,1,-3755.247,-4389.777
