,Timestep,Line,Actual,Predicted
201,2176,83->25,1318.9751,1344.6006
202,2176,24->25,1842.6543,1617.0754
203,2176,47->73,-206.5916,-231.60217
204,2176,47->72,146.04195,139.13213
205,2176,9->10,1000.0,995.1142
206,2176,55->119,999.99994,1023.65045
207,2176,89->120,1000.0,1052.3997
208,2177,37->65,-608.6381,-564.77527
209,2177,49->68,-55.41337,-82.95326
210,2177,37->39,-1471.3512,-1323.7397
211,2177,47->68,79.29472,-53.977974
212,2177,25->47,-489.60464,-350.35147
213,2177,65->68,-490.62372,-612.67236
214,2177,83->25,1287.586,1309.0709
215,2177,24->25,1784.8766,1509.6868
216,2177,47->73,-59.362373,-188.30753
217,2177,47->72,268.62033,149.23842
218,2177,9->10,1000.0,1003.20746
219,2177,55->119,999.99994,1008.59155
220,2177,89->120,1000.0,1031.2562
221,2178,37->65,-578.733,-542.6385
222,2178,49->68,-78.48216,-107.97775
223,2178,37->39,-1213.3523,-1071.165
224,2178,47->68,176.6915,132.95462
225,2178,25->47,-406.1562,-375.81116
226,2178,65->68,-615.6903,-752.5867
227,2178,83->25,1066.2878,1202.5299
228,2178,24->25,1425.5364,1449.3599
229,2178,47->73,-54.80065,-118.59037
230,2178,47->72,239.00278,186.27544
231,2178,9->10,1000.0,1010.32935
232,2178,55->119,999.99994,993.33856
233,2178,89->120,1000.0,985.14606
234,2179,37->65,-531.5416,-527.02844
235,2179,49->68,-73.866234,-108.44255
236,2179,37->39,-1051.5043,-1009.53204
237,2179,47->68,159.33446,160.59404
238,2179,25->47,-398.82068,-377.29373
239,2179,65->68,-569.9822,-748.3914
240,2179,83->25,1059.9159,1130.4484
241,2179,24->25,1384.6909,1407.4149
242,2179,47->73,-45.657383,-89.402626
243,2179,47->72,238.98839,194.43065
244,2179,9->10,1000.0,990.02155
245,2179,55->119,999.99994,992.2402
246,2179,89->120,1000.0,1049.3717
247,2180,37->65,-536.2499,-529.0464
248,2180,49->68,-67.81772,-102.40632
249,2180,37->39,-1077.5935,-1025.9777
250,2180,47->68,154.69466,163.08377
251,2180,25->47,-402.6902,-384.16278
252,2180,65->68,-538.6612,-721.2052
253,2180,83->25,1059.6207,1114.7772
254,2180,24->25,1377.5059,1418.4877
255,2180,47->73,-32.08932,-78.792206
256,2180,47->72,246.8127,198.66449
257,2180,9->10,1000.0,982.0706
258,2180,55->119,999.99994,991.5041
259,2180,89->120,1000.0,1051.8053
260,2181,37->65,-619.9759,-531.3152
261,2181,49->68,-66.2144,-98.24995
262,2181,37->39,-1312.9222,-1039.1562
263,2181,47->68,156.10435,167.56635
264,2181,25->47,-406.23444,-387.84048
265,2181,65->68,-572.7569,-703.11816
266,2181,83->25,1083.3782,1094.3541
