,Timestep,Line,Actual,Predicted
230,2178,47->72,239.00278,164.2013
231,2178,9->10,1000.0,952.8979
232,2178,55->119,999.99994,989.2753
233,2178,89->120,1000.0,884.6852
234,2179,37->65,-531.5416,-526.213
235,2179,49->68,-73.866234,-117.234215
236,2179,37->39,-1051.5043,-1043.6969
237,2179,47->68,159.33446,110.46207
238,2179,25->47,-398.82068,-399.44827
239,2179,65->68,-569.9822,-760.1803
240,2179,83->25,1059.9159,1149.2323
241,2179,24->25,1384.6909,1479.4121
242,2179,47->73,-45.657383,-107.714966
243,2179,47->72,238.98839,185.39415
244,2179,9->10,1000.0,960.2117
245,2179,55->119,999.99994,986.1427
246,2179,89->120,1000.0,892.5107
247,2180,37->65,-536.2499,-527.19904
248,2180,49->68,-67.81772,-111.608345
249,2180,37->39,-1077.5935,-1054.6956
250,2180,47->68,154.69466,118.06162
251,2180,25->47,-402.6902,-404.2622
252,2180,65->68,-538.6612,-737.2735
253,2180,83->25,1059.6207,1134.2177
254,2180,24->25,1377.5059,1484.2092
255,2180,47->73,-32.08932,-97.82168
256,2180,47->72,246.8127,192.13783
257,2180,9->10,1000.0,959.51715
258,2180,55->119,999.99994,984.84357
259,2180,89->120,1000.0,891.2642
260,2181,37->65,-619.9759,-527.5651
261,2181,49->68,-66.2144,-107.79344
262,2181,37->39,-1312.9222,-1061.7529
263,2181,47->68,156.10435,123.63083
264,2181,25->47,-406.23444,-406.828
265,2181,65->68,-572.7569,-719.9653
266,2181,83->25,1083.3782,1118.6388
267,2181,24->25,1397.0283,1482.1318
268,2181,47->73,-28.252607,-89.2412
269,2181,47->72,246.89911,195.6468
270,2181,9->10,1000.0,959.3229
271,2181,55->119,999.99994,983.8933
272,2181,89->120,1000.0,888.2345
273,2182,37->65,-539.8146,-528.0247
274,2182,49->68,-141.00877,-112.41905
275,2182,37->39,-1023.4736,-1057.8038
276,2182,47->68,169.12636,116.684746
277,2182,25->47,-354.42004,-400.89053
278,2182,65->68,-908.06024,-730.3602
279,2182,83->25,1226.2474,1117.6128
280,2182,24->25,1353.2329,1469.8416
281,2182,47->73,-89.59881,-92.04904
282,2182,47->72,178.98149,184.62479
283,2182,9->10,1000.0,964.20667
284,2182,55->119,999.99994,984.939
285,2182,89->120,1000.0,879.3628
286,2183,37->65,-510.87888,-533.00793
