,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2128,853.6727479867668,3232.1230179643358,10021.908610846314,2482.0961870496685,1276.2181492496736,2615.4764999999998
2129,751.2635527099349,1315.0478789908655,9203.470377336738,2107.6618413668466,916.0960302849064,2664.3015
2130,758.95446,800.181,8440.1351655,2031.8760000000002,911.28,2690.8875
2131,868.34154,966.5487,7508.1970155,1934.988,1170.8385,2708.37
2132,1004.7945599999999,1161.9609,6736.0243980000005,1842.918,1449.51,2701.0935
2133,1140.6252,1390.3371000000002,6602.242195500001,1807.6080000000002,1602.894,2676.0195
2134,1222.55166,1531.2783,6926.96727,1907.9940000000001,1672.5044999999998,2645.748
2135,1250.51322,1583.5785,7514.637371999999,1967.262,1678.7925000000002,2598.6240000000003
2136,1251.46956,1592.6034,8151.026924999999,2084.346,1712.2185,2526.6150000000002
2137,1249.45062,1594.2314999999999,8868.4030545,1981.65,1724.295,2369.6505
2138,1249.9212,1594.5129000000002,9748.817662499998,1804.7040000000002,1724.7,2092.4505
2139,1250.3614200000002,1594.4124,10436.748387000001,1446.192,1724.6775,1729.2554999999998
2140,1253.67066,1594.1511,11104.155958500001,1098.108,1728.705,1425.5955
2141,1257.75408,1594.4124,11598.534023999999,767.4290422122083,1728.8175,1236.123
2142,1286.318971444974,1803.7288929969554,11924.734623247185,912.7065969597838,1752.7753580361025,1422.4769999999999
2143,1350.5040232130002,2777.586898858199,12111.422039734882,1577.7980381637349,1788.0454292627228,1793.1375
2144,1428.1203956135055,3407.873440974332,12262.635227098492,2465.7725091336915,1803.3111344606345,2164.2075
2145,1482.3422835126985,3233.0427343518977,12416.750341416075,3100.9682265070005,1840.7891107546761,2439.423
2146,1531.4807070721024,3344.308768225311,12228.929784411432,3600.699816362655,1739.2943102979552,2579.3145
2147,1593.0150060192661,5399.416626446286,12297.155685689148,3938.32239911418,1779.654878207917,2574.8415
2148,1632.8772915500635,7690.020701913871,12107.61768127603,4049.484283808495,1825.265020661157,2462.2290000000003
2149,1634.6050580597448,8153.2596490321885,12482.830343654441,4023.5564508952693,2017.682038658112,2385.558
2150,1605.6388216055275,6578.113236929095,12460.051252805339,3822.372853054454,2073.4309591126575,2302.398
2151,1543.3685400175145,4529.134827207478,12276.891949321996,3485.3385036132822,1905.1082402675079,2226.4515
2152,1404.3301446900846,3161.928233351451,11982.331158165176,3112.5913363481727,1828.2872833297088,2236.563
2153,1235.9658107015666,1952.750148118747,11900.694204950145,2997.5701153056852,1756.5845413766856,2250.045
