Time Step,37->65,49->68,37->39,47->68,25->47,65->68,83->25,24->25,47->73,47->72,9->10,55->119,89->120
2189,0.0,0.0,0.0,32.52337132776063,9.457478321932001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,0.0,0.0,0.0,38.2303736061977,8.113123602107748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,0.0,0.0,0.0,4.186224070437191,10.672892008801966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,0.0,0.0,0.0,0.0,13.420155142380906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,0.0,0.0,0.0,3.996102355854873,14.538849573742198,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0
2194,4.3325348744573375,0.0,0.0,0.0,0.12017725807561419,0.0,0.0,0.0,0.0,32.04976188935146,0.0,-2.2737367544323206e-13,0.0
2195,18.14979106505109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.662872982935852,0.0,2.2737367544323206e-13,0.0
2196,28.46621198458172,0.0,0.0,0.0,0.8552448484434763,0.0,0.0,0.0,0.0,3.952300767847049,0.0,0.0,0.0
2197,33.033328612478726,0.05208212689453262,0.0,0.0,16.194851328609616,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2198,38.68974484235548,3.651946260593661,0.0,0.0,32.429943023036515,0.0,0.0,-1.1368683772161603e-13,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2199,37.81258399456624,2.6010792294572838,0.0,0.0,32.88244924670232,0.0,0.0,-1.1368683772161603e-13,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2200,14.075031079052906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.74381604599105,0.0,0.0,0.0
2201,0.0,0.0,0.0,0.0,25.764915659703718,0.0,0.0,0.0,0.0,25.574541550869412,0.0,0.0,0.0
2202,0.0,0.0,0.0,34.1426258013434,12.274540337113422,0.0,0.0,0.0,8.06279633037235,17.445721070057175,-9.094947017729282e-13,0.0,0.0
2203,0.0,0.0,0.0,3.211204633886098,2.6333910676706296,0.0,0.0,0.0,8.267278094372905,13.722700749513763,0.0,0.0,0.0
2204,0.0,0.0,0.0,0.0,1.900651315124378,0.0,0.0,0.0,0.0,12.986975293863196,0.0,0.0,0.0
2205,0.0,0.0,0.0,0.0,3.1727350641290855,0.0,0.0,0.0,0.0,5.848670572556813,0.0,4.547473508864641e-13,0.0
2206,0.0,0.0,0.0,0.0,5.543104927041327,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2207,0.0,0.8626626598699332,0.0,2.889727816712025,2.293332877782291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13
